probIn scale
0.3359075 0.1870639
0.3087438 0.1198657
0.208509 0.0832241
0.5077717 0.03767674
0.4782758 0.08010468
0.3917802 0.07779357
0.2926581 0.0689677
0.3874241 0.07128805
0.3322602 0.2663025
0.2430508 0.2113781
0.3089616 0.146151
0.2331146 0.1910548
0.4081801 0.2479534
0.3252215 0.1731188
0.2271964 0.1107617
0.3301335 0.1393953
0.5315029 0.1034436
0.3559988 0.2204192
0.5038854 0.2210718
0.3031198 0.3753857
0.3326065 0.2198875
0.5231431 0.1517176
0.331297 0.2266061
0.4820819 0.5669871
0.4380736 0.492726
0.455586 0.61436
0.4638674 0.289613
0.4581516 0.2696635
0.3309222 0.2423262
0.2737087 0.09422156
0.4393085 0.08264556
0.3436452 0.2717551
0.2763683 0.2754686
0.2927704 0.2854591
0.2725506 0.3984979
0.5998517 0.2386836
0.6096413 0.1632001
0.5582717 0.1295717
0.3635195 0.1617705
0.2767104 0.1310699
0.3158779 0.2091844
0.2512284 0.2441746
0.3880354 0.1689873
0.3549999 0.1373495
0.2932581 0.1311506
0.3904026 0.1656536
0.480544 0.2549131
0.3195901 0.1210652
0.3540032 0.09143563
0.4266291 0.1027773
0.3378175 0.4496967
0.5427373 0.299788
0.1281535 0.1823057
0.2908757 0.146043
0.3938869 0.3566709
0.4523523 0.2740442
0.421558 0.2899881
0.3677281 0.4602373
0.3071417 0.3573859
0.356491 0.6245223
0.3759751 0.3512454
0.427658 0.3285901
0.3524045 0.1231525
0.4409211 0.09099584
0.3390036 0.1647546
0.2689226 0.1379916
0.4836786 0.1504393
0.4468983 0.1122879
0.2965415 0.2600025
0.4554294 0.1393899
0.4341522 0.105837
0.5349152 0.1161671
0.4224047 0.1022654
0.4669403 0.0840152
0.5022998 0.1095357
0.2972273 0.1342623
0.4161039 0.1919862
0.51331 0.1618368
0.345645 0.2752575
0.3178591 0.3458847
0.3906043 0.2642485
0.3472586 0.3838364
0.4507407 0.3198415
0.5028826 0.300666
0.3158725 0.2901045
0.4193517 0.4682367
0.2764449 0.3844041
0.4556534 0.32012
0.3451719 0.2449141
0.3948874 0.181723
0.3469054 0.2060259
0.514422 0.2424224
0.3713695 0.1960413
0.410873 0.1823588
0.4559933 0.3161643
0.2731368 0.1577964
